  284.5    59.9   560.7    72.2 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов
  417.9    74.0   427.1    86.3 Arial-ItalicMT 11.04 3
  351.9    99.3   486.2   111.7 Arial-BoldMT   11.04 ПЕРЕЧЕНЬ ИЗМЕНЕНИЙ
  486.2    99.1   490.1   106.8 ArialMT         6.96 1
  126.4   127.3   174.7   139.6 ArialMT        11.04 Элемент
  414.2   127.3   467.9   139.6 ArialMT        11.04 Описание
  708.5   127.3   775.4   139.6 ArialMT        11.04 Примечания
   90.7   143.3   147.8   155.6 ArialMT        11.04 Пункт 3.1.5
  218.1   143.3   532.7   155.6 ArialMT        11.04 Введена ссылка на часть XI «Электрическое оборудование»
   85.1   507.1    88.4   513.8 ArialMT         6.00 1
   99.3   507.4   180.5   517.4 ArialMT         9.00 За исключением и
  181.0   507.4   486.6   517.4 ArialMT         9.00 зменений и дополнений, вводимых Бюллетенями, а также опечаток.
