  139.5    60.0   474.9    72.3 Arial-ItalicMT 11.04 Правила классификации и постройки морских судов (часть XII)
  299.5    74.1   314.8    86.4 Arial-ItalicMT 11.04 33
  140.9    99.4   473.5   112.8 Arial-BoldMT   12.00 9 ХОЛОДИЛЬНЫЕ УСТАНОВКИ, ОХЛАЖДАЮЩИЕ ГРУЗ
  174.1   113.2   440.3   126.6 Arial-BoldMT   12.00 В ТЕРМОИЗОЛИРОВАННЫХ КОНТЕЙНЕРАХ
  148.1   144.9   466.1   157.3 Arial-BoldMT   11.04 9.1 ОБЩИЕ ПОЛОЖЕНИЯ И ТЕХНИЧЕСКИЕ ТРЕБОВАНИЯ
   99.4   169.7   124.0   182.0 Arial-BoldMT   11.04 9.1.1
  148.9   169.7   166.1   182.0 ArialMT        11.04 На
  179.2   169.7   251.1   182.0 ArialMT        11.04 холодильные
  264.2   169.7   321.4   182.0 ArialMT        11.04 установки,
  334.5   169.7   429.5   182.0 ArialMT        11.04 предназначенные
  442.6   169.7   464.4   182.0 ArialMT        11.04 для
  477.5   169.7   536.1   182.0 ArialMT        11.04 снабжения
   78.0   182.3   152.8   194.6 ArialMT        11.04 охлажденным
  167.4   182.3   218.4   194.6 ArialMT        11.04 воздухом
  233.1   182.3   346.8   194.6 ArialMT        11.04 термоизолированных
  361.5   182.3   429.0   194.6 ArialMT        11.04 контейнеров
  443.7   182.3   452.9   194.6 ArialMT        11.04 и
  467.6   182.3   536.2   194.6 ArialMT        11.04 стационарно
   78.0   195.0   536.2   207.3 ArialMT        11.04 устанавливаемые на борту судна, распространяются применимые требования
   78.0   207.6   213.5   219.9 ArialMT        11.04 настоящей части Правил.
   99.4   220.2   124.0   232.5 Arial-BoldMT   11.04 9.1.2
  148.9   220.2   536.1   232.5 ArialMT        11.04 Холодильные установки должны обеспечивать охлажденным воздухом
   78.0   232.9   536.3   245.2 ArialMT        11.04 в необходимом диапазоне температур термоизолированные контейнеры с находящимся
   78.0   245.5   148.2   257.8 ArialMT        11.04 в них грузом.
   99.4   258.2   145.5   270.5 ArialMT        11.04 Степень
  156.3   258.2   219.2   270.5 ArialMT        11.04 циркуляции
  230.0   258.2   273.5   270.5 ArialMT        11.04 воздуха
  284.3   258.2   363.7   270.5 ArialMT        11.04 в контейнерах,
  374.5   258.2   434.5   270.5 ArialMT        11.04 устройства
  445.3   258.2   467.3   270.5 ArialMT        11.04 для
  478.2   258.2   536.2   270.5 ArialMT        11.04 измерения
   78.0   270.9   536.2   283.2 ArialMT        11.04 и регулирования температуры, поддержания требуемой влажности, сигнализация
   78.0   283.5   536.1   295.8 ArialMT        11.04 о поддержании необходимых параметров должны соответствовать условиям перевозки
   78.0   296.2   205.9   308.5 ArialMT        11.04 конкретных видов груза.
   99.4   308.8   536.3   321.1 ArialMT        11.04 Резерв холодопроизводительности установки должен быть не менее 20 %
   78.0   321.5   197.5   333.8 ArialMT        11.04 от спецификационной.
   99.4   334.1   124.0   346.4 Arial-BoldMT   11.04 9.1.3
  148.9   334.1   536.2   346.4 ArialMT        11.04 Если назначение контейнера таково, что для перевозки груза внутри
   78.0   346.7   536.1   359.0 ArialMT        11.04 контейнера требуется регулирование состава газовой среды, то оборудование системы
   78.0   359.4   536.1   371.7 ArialMT        11.04 вентиляции, изоляция и средства сигнализации контейнера должны отвечать
   78.0   372.0   536.3   384.3 ArialMT        11.04 требованиям части III «Изотермические контейнеры» Правил изготовления контейнеров.
   99.4   384.7   124.0   397.0 Arial-BoldMT   11.04 9.1.4
  148.9   384.7   196.4   397.0 ArialMT        11.04 Система
  216.7   384.7   296.4   397.0 ArialMT        11.04 регулирования
  316.8   384.7   360.0   397.0 ArialMT        11.04 состава
  380.3   384.7   422.7   397.0 ArialMT        11.04 газовой
  443.0   384.7   478.1   397.0 ArialMT        11.04 среды
  498.4   384.7   536.2   397.0 ArialMT        11.04 внутри
   78.0   397.3   536.1   409.6 ArialMT        11.04 термоизолированных контейнеров должна обеспечивать поддержание необходимой
   78.0   410.1   288.5   422.4 ArialMT        11.04 концентрации кислорода в контейнерах.
   99.4   422.7   124.0   435.0 Arial-BoldMT   11.04 9.1.5
  148.9   422.7   536.3   435.0 ArialMT        11.04 Охлажденный воздух, подаваемый в термоизолированные контейнеры,
   78.0   435.3   536.3   447.6 ArialMT        11.04 должен обладать достаточной сухостью для избежания образования льда в гибких
   78.0   448.0   150.3   460.3 ArialMT        11.04 соединениях.
   99.4   460.6   124.0   472.9 Arial-BoldMT   11.04 9.1.6
  148.9   460.6   536.1   472.9 ArialMT        11.04 Термоизолированные контейнеры, перевозимые на борту судна, должны
   78.0   473.3   536.2   485.6 ArialMT        11.04 отвечать требованиям части III «Изотермические контейнеры» Правил изготовления
   78.0   485.9   508.2   498.2 ArialMT        11.04 контейнеров и Правил технического наблюдения за контейнерами в эксплуатации.
   99.4   498.5   536.3   510.8 ArialMT        11.04 Несоответствие термоизолированных контейнеров этим требованиям не может
   78.0   511.2   371.4   523.5 ArialMT        11.04 препятствовать классификации холодильной установки.
